INFO:root:Step 2600:	 LOSS 0.8177215456962585 	 Top1 76.5625 	 Top5 90.625
INFO:root:Step 2700:	 LOSS 0.4096936881542206 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 2800:	 LOSS 0.30693942308425903 	 Top1 92.1875 	 Top5 100.0
INFO:root:Step 2900:	 LOSS 0.7105581164360046 	 Top1 84.375 	 Top5 93.75
INFO:root:Step 3000:	 LOSS 0.6416367888450623 	 Top1 78.125 	 Top5 95.3125
INFO:root:Step 3100:	 LOSS 0.20109887421131134 	 Top1 96.875 	 Top5 100.0
DEBUG:root:Epoch: 0	Loss: 0.6090233325958252	Top1 accuracy: 96.875
INFO:root:Step 3200:	 LOSS 0.4998016357421875 	 Top1 81.25 	 Top5 100.0
INFO:root:Step 3300:	 LOSS 0.3228003978729248 	 Top1 90.625 	 Top5 98.4375
INFO:root:Step 3400:	 LOSS 0.5697550177574158 	 Top1 87.5 	 Top5 96.875
INFO:root:Step 3500:	 LOSS 0.6828229427337646 	 Top1 81.25 	 Top5 93.75
INFO:root:Step 3600:	 LOSS 0.4604465663433075 	 Top1 93.75 	 Top5 95.3125
INFO:root:Step 3700:	 LOSS 0.34332510828971863 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 3800:	 LOSS 0.18966902792453766 	 Top1 95.3125 	 Top5 100.0
INFO:root:Step 3900:	 LOSS 0.6744182705879211 	 Top1 82.8125 	 Top5 92.1875
INFO:root:Step 4000:	 LOSS 0.17149512469768524 	 Top1 98.4375 	 Top5 100.0
INFO:root:Step 4100:	 LOSS 0.26544204354286194 	 Top1 90.625 	 Top5 100.0
INFO:root:Step 4200:	 LOSS 0.6336564421653748 	 Top1 84.375 	 Top5 95.3125
INFO:root:Step 4300:	 LOSS 0.9384819269180298 	 Top1 71.875 	 Top5 90.625
INFO:root:Step 4400:	 LOSS 0.4350353479385376 	 Top1 90.625 	 Top5 93.75
INFO:root:Step 4500:	 LOSS 0.42992842197418213 	 Top1 89.0625 	 Top5 98.4375
INFO:root:Step 4600:	 LOSS 0.40748655796051025 	 Top1 89.0625 	 Top5 98.4375
INFO:root:Step 4700:	 LOSS 0.28665751218795776 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 4800:	 LOSS 0.2583649158477783 	 Top1 92.1875 	 Top5 100.0
INFO:root:Step 4900:	 LOSS 0.23828332126140594 	 Top1 96.875 	 Top5 96.875
INFO:root:Step 5000:	 LOSS 0.7517476677894592 	 Top1 78.125 	 Top5 95.3125
INFO:root:Step 5100:	 LOSS 0.5484455227851868 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 5200:	 LOSS 0.25382500886917114 	 Top1 95.3125 	 Top5 100.0
INFO:root:Step 5300:	 LOSS 0.40881577134132385 	 Top1 85.9375 	 Top5 96.875
INFO:root:Step 5400:	 LOSS 0.510562002658844 	 Top1 92.1875 	 Top5 95.3125
INFO:root:Step 5500:	 LOSS 0.6252524256706238 	 Top1 82.8125 	 Top5 92.1875
INFO:root:Step 5600:	 LOSS 1.0649412870407104 	 Top1 75.0 	 Top5 87.5
INFO:root:Step 5700:	 LOSS 0.42797526717185974 	 Top1 93.75 	 Top5 96.875
INFO:root:Step 5800:	 LOSS 0.4304550588130951 	 Top1 90.625 	 Top5 93.75
INFO:root:Step 5900:	 LOSS 0.2616569399833679 	 Top1 92.1875 	 Top5 100.0
INFO:root:Step 6000:	 LOSS 0.22181467711925507 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 6100:	 LOSS 0.43309348821640015 	 Top1 84.375 	 Top5 98.4375
INFO:root:Step 6200:	 LOSS 0.41999977827072144 	 Top1 93.75 	 Top5 95.3125
DEBUG:root:Epoch: 1	Loss: 0.7655342221260071	Top1 accuracy: 93.75
INFO:root:Step 6300:	 LOSS 0.35968953371047974 	 Top1 90.625 	 Top5 96.875
INFO:root:Step 6400:	 LOSS 0.32916027307510376 	 Top1 93.75 	 Top5 96.875
INFO:root:Step 6500:	 LOSS 0.35236719250679016 	 Top1 89.0625 	 Top5 98.4375
INFO:root:Step 6600:	 LOSS 0.24538211524486542 	 Top1 93.75 	 Top5 98.4375
INFO:root:Step 6700:	 LOSS 0.4794161915779114 	 Top1 85.9375 	 Top5 98.4375
INFO:root:Step 6800:	 LOSS 0.3901079297065735 	 Top1 90.625 	 Top5 98.4375
INFO:root:Step 6900:	 LOSS 0.496122270822525 	 Top1 87.5 	 Top5 96.875
INFO:root:Step 7000:	 LOSS 0.5551371574401855 	 Top1 89.0625 	 Top5 95.3125
INFO:root:Step 7100:	 LOSS 0.7172399759292603 	 Top1 78.125 	 Top5 95.3125
INFO:root:Step 7200:	 LOSS 0.45211052894592285 	 Top1 85.9375 	 Top5 98.4375
INFO:root:Step 7300:	 LOSS 0.5142438411712646 	 Top1 85.9375 	 Top5 95.3125
INFO:root:Step 7400:	 LOSS 0.25161176919937134 	 Top1 92.1875 	 Top5 98.4375
INFO:root:Step 7500:	 LOSS 0.6027742624282837 	 Top1 84.375 	 Top5 93.75
INFO:root:Step 7600:	 LOSS 0.2987026870250702 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 7700:	 LOSS 0.42881646752357483 	 Top1 92.1875 	 Top5 96.875
INFO:root:Step 7800:	 LOSS 0.6131563782691956 	 Top1 79.6875 	 Top5 100.0
INFO:root:Step 7900:	 LOSS 0.259414941072464 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 8000:	 LOSS 0.3956639766693115 	 Top1 89.0625 	 Top5 100.0
INFO:root:Step 8100:	 LOSS 0.2817317843437195 	 Top1 90.625 	 Top5 100.0
INFO:root:Step 8200:	 LOSS 0.3888338804244995 	 Top1 95.3125 	 Top5 96.875
INFO:root:Step 8300:	 LOSS 0.2661202549934387 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 8400:	 LOSS 0.34908023476600647 	 Top1 87.5 	 Top5 100.0
INFO:root:Step 8500:	 LOSS 0.45116543769836426 	 Top1 87.5 	 Top5 98.4375
INFO:root:Step 8600:	 LOSS 0.4830714762210846 	 Top1 84.375 	 Top5 96.875
INFO:root:Step 8700:	 LOSS 0.40319687128067017 	 Top1 90.625 	 Top5 95.3125
INFO:root:Step 8800:	 LOSS 0.38525286316871643 	 Top1 87.5 	 Top5 98.4375
INFO:root:Step 8900:	 LOSS 0.5092659592628479 	 Top1 85.9375 	 Top5 95.3125
INFO:root:Step 9000:	 LOSS 0.28210291266441345 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 9100:	 LOSS 0.27424025535583496 	 Top1 93.75 	 Top5 96.875
INFO:root:Step 9200:	 LOSS 0.48585543036460876 	 Top1 89.0625 	 Top5 95.3125
INFO:root:Step 9300:	 LOSS 0.41422000527381897 	 Top1 90.625 	 Top5 95.3125
DEBUG:root:Epoch: 2	Loss: 0.41883090138435364	Top1 accuracy: 90.625
